epsilon,n_respondents,seed,bias,demographic_imbalance,fallback_cells,cell_proportion_min,cell_proportion_max,cell_proportion_std,raw_frequencies_l1,rr_debiased_l1,poststratified_l1
2.0,500,1002,none,0.07200000000000002,0,0.114,0.204,0.02865115859592573,0.08400000000000005,0.08348526881286228,0.0816974183330299
2.0,500,1003,none,0.06399999999999996,0,0.102,0.206,0.036527006751473926,0.037000000000000005,0.08257947906074464,0.08405379133161217
2.0,500,1004,none,0.096,0,0.086,0.228,0.05185449728701349,0.03200000000000003,0.09433590248673657,0.0949426276448462
2.0,500,1005,none,0.09599999999999999,0,0.116,0.218,0.04167599895490076,0.09200000000000005,0.07172884538687035,0.05974415618651277
2.0,500,1006,none,0.08000000000000004,0,0.096,0.224,0.040144184579532255,0.14100000000000007,0.07025402547715132,0.07282592385708295
2.0,500,1007,none,0.10000000000000002,0,0.102,0.228,0.04180377441757569,0.11200000000000002,0.15990202108181012,0.15826121657813874
2.0,500,1008,none,0.06399999999999996,0,0.104,0.21,0.03556527644893104,0.09300000000000005,0.04233778682189035,0.03479124219381771
2.0,500,1009,none,0.07999999999999997,0,0.106,0.21,0.038551552786135895,0.08400000000000005,0.08348526881286228,0.08635974639910027
2.0,500,1010,none,0.084,0,0.114,0.226,0.04120949189473491,0.06800000000000003,0.06585063367387431,0.073632125238274
2.0,500,1011,none,0.132,0,0.116,0.23,0.04355328792282953,0.06499999999999997,0.09314559765581812,0.09341316352871398
2.0,500,1012,none,0.07999999999999997,0,0.098,0.218,0.0475207556991913,0.10500000000000004,0.022322542021065567,0.013843496445377551
2.0,500,1013,none,0.03599999999999999,0,0.102,0.204,0.034596081987544325,0.1650000000000001,0.11847002401203746,0.10654400345550044
2.0,500,1014,none,0.08399999999999998,0,0.084,0.222,0.049175422949093404,0.09700000000000003,0.03995717716005351,0.03388846597761308
2.0,500,1015,none,0.06799999999999998,0,0.096,0.208,0.03940671121635106,0.05300000000000002,0.05906663220876049,0.05384139616163258
2.0,500,1016,none,0.07600000000000004,0,0.092,0.198,0.03614169644914613,0.14900000000000008,0.10671360058604554,0.10777369968693057
2.0,500,1017,none,0.08399999999999998,0,0.112,0.22,0.04009433321001305,0.10100000000000003,0.03617506003009363,0.037914869348901536
2.0,500,1018,none,0.08800000000000002,0,0.128,0.198,0.02801586851926759,0.06900000000000003,0.03555378535677667,0.023014788636618544
2.0,500,1019,none,0.06799999999999994,0,0.112,0.214,0.041563873202043564,0.11700000000000005,0.03498475519917521,0.0316861936753105
2.0,500,1020,none,0.055999999999999994,0,0.096,0.218,0.04161196409153929,0.01700000000000007,0.11197053762572451,0.11472767420905547
2.0,500,1021,none,0.07599999999999998,0,0.098,0.222,0.040933550488023336,0.06500000000000003,0.041431997069772686,0.046132169522188765
2.0,500,1022,none,0.076,0,0.106,0.222,0.04022713291078824,0.13300000000000006,0.0584976020511592,0.05960540141071782
2.0,500,1023,none,0.05999999999999997,0,0.094,0.208,0.04264061704785968,0.09700000000000003,0.04793148345608553,0.050470858618535674
2.0,500,1024,none,0.07999999999999997,0,0.116,0.224,0.041435357955360894,0.14500000000000007,0.07613223719014711,0.07938502572811379
2.0,500,1025,none,0.08400000000000003,0,0.112,0.23,0.037392809766347096,0.11600000000000008,0.08936348052585827,0.08185233968051028
2.0,500,1026,none,0.12000000000000002,0,0.092,0.232,0.04453712558703756,0.09700000000000003,0.03995717716005351,0.043908437075018375
2.0,500,1027,none,0.027999999999999997,0,0.096,0.21,0.03901566636906542,0.09700000000000003,0.0538096951690816,0.05561805165941258
