epsilon,n_respondents,bias,seed,method,l1_error,max_abs_error
0.25,250,strong,1026,poststratified,0.6644328653395323,0.3322164326697662
0.25,250,strong,1027,raw_frequencies,0.321,0.16049999999999998
0.25,250,strong,1027,rr_debiased,0.6308314264485255,0.31541571322426265
0.25,250,strong,1027,poststratified,0.2689473593932274,0.13447367969661378
0.25,250,strong,1028,raw_frequencies,0.29700000000000004,0.14850000000000002
0.25,250,strong,1028,rr_debiased,0.35333298662700485,0.17666649331350237
0.25,250,strong,1028,poststratified,0.6930590831261338,0.346529541563067
0.25,250,strong,1029,raw_frequencies,0.281,0.1405
0.25,250,strong,1029,rr_debiased,0.16833402674599052,0.0841670133729952
0.25,250,strong,1029,poststratified,0.644622491751869,0.3223112458759345
0.25,500,none,1000,raw_frequencies,0.25300000000000006,0.1265
0.25,500,none,1000,rr_debiased,0.5358293462105541,0.26791467310527706
0.25,500,none,1000,poststratified,0.5285938508328016,0.2642969254164008
0.25,500,none,1001,raw_frequencies,0.24900000000000005,0.1245
0.25,500,none,1001,rr_debiased,0.20166389301603765,0.1008319465080189
0.25,500,none,1001,poststratified,0.30120287662655526,0.1506014383132777
0.25,500,none,1002,raw_frequencies,0.21700000000000008,0.10849999999999999
0.25,500,none,1002,rr_debiased,0.37499999999999994,0.1875
0.25,500,none,1002,poststratified,0.375,0.1875
0.25,500,none,1003,raw_frequencies,0.2730000000000001,0.1365
0.25,500,none,1003,rr_debiased,0.4266649331350234,0.21333246656751176
0.25,500,none,1003,poststratified,0.5200262783119843,0.2600131391559921
0.25,500,none,1004,raw_frequencies,0.29700000000000004,0.14850000000000002
0.25,500,none,1004,rr_debiased,0.38041519316477007,0.19020759658238512
0.25,500,none,1004,poststratified,0.3940683415439364,0.19703417077196822
0.25,500,none,1005,raw_frequencies,0.22100000000000003,0.11049999999999999
0.25,500,none,1005,rr_debiased,0.4395960026527576,0.21979800132637872
0.25,500,none,1005,poststratified,0.4442883088680101,0.22214415443400504
0.25,500,none,1006,raw_frequencies,0.273,0.1365
0.25,500,none,1006,rr_debiased,0.10291675334324873,0.05145837667162445
0.25,500,none,1006,poststratified,0.08169339251633939,0.04084669625816967
0.25,500,none,1007,raw_frequencies,0.25300000000000006,0.1265
0.25,500,none,1007,rr_debiased,0.3133309063890326,0.15666545319451625
0.25,500,none,1007,poststratified,0.25108120653478605,0.12554060326739297
0.25,500,none,1008,raw_frequencies,0.36500000000000005,0.1825
0.25,500,none,1008,rr_debiased,1.139578566121315,0.5697892830606573
0.25,500,none,1008,poststratified,1.1591886954285386,0.5795943477142693
0.25,500,none,1009,raw_frequencies,0.24900000000000005,0.1245
0.25,500,none,1009,rr_debiased,0.22083142644852544,0.11041571322426263
0.25,500,none,1009,poststratified,0.20543209269822388,0.10271604634911191
0.25,500,none,1010,raw_frequencies,0.3370000000000001,0.16849999999999998
0.25,500,none,1010,rr_debiased,0.7849999999999999,0.3925
0.25,500,none,1010,poststratified,0.7849999999999999,0.3925
0.25,500,none,1011,raw_frequencies,0.26100000000000007,0.1305
0.25,500,none,1011,rr_debiased,0.1195816864782718,0.05979084323913586
0.25,500,none,1011,poststratified,0.10935428638676017,0.05467714319338007
0.25,500,none,1012,raw_frequencies,0.36500000000000005,0.1825
0.25,500,none,1012,rr_debiased,0.896867583753597,0.44843379187679855
0.25,500,none,1012,poststratified,0.89890004954624,0.44945002477312
0.25,500,none,1013,raw_frequencies,0.2730000000000001,0.1365
0.25,500,none,1013,rr_debiased,0.2879157132242627,0.1439578566121314
0.25,500,none,1013,poststratified,0.3034147862227145,0.15170739311135725
0.25,500,none,1014,raw_frequencies,0.26100000000000007,0.1305
0.25,500,none,1014,rr_debiased,0.16583142644852536,0.08291571322426261
0.25,500,none,1014,poststratified,0.14522331464944305,0.07261165732472147
0.25,500,none,1015,raw_frequencies,0.30900000000000005,0.15450000000000003
0.25,500,none,1015,rr_debiased,0.5191644130755309,0.2595822065377654
0.25,500,none,1015,poststratified,0.5998981118108462,0.2999490559054231
0.25,500,none,1016,raw_frequencies,0.18500000000000005,0.09250000000000003
0.25,500,none,1016,rr_debiased,0.6474662693747797,0.3237331346873898
0.25,500,none,1016,poststratified,0.6840410442663186,0.3420205221331593
0.25,500,none,1017,raw_frequencies,0.2770000000000001,0.1385
0.25,500,none,1017,rr_debiased,0.2504162332837555,0.1252081166418778
0.25,500,none,1017,poststratified,0.2848508133446243,0.14242540667231218
0.25,500,none,1018,raw_frequencies,0.26500000000000007,0.1325
0.25,500,none,1018,rr_debiased,0.6745785661213148,0.3372892830606573
0.25,500,none,1018,poststratified,0.7713971007207459,0.3856985503603729
0.25,500,none,1019,raw_frequencies,0.34900000000000003,0.1745
0.25,500,none,1019,rr_debiased,0.9545796062403006,0.47728980312015024
0.25,500,none,1019,poststratified,0.9617951681437669,0.48089758407188343
0.25,500,none,1020,raw_frequencies,0.21300000000000002,0.10649999999999998
0.25,500,none,1020,rr_debiased,0.3868244323096031,0.19341221615480153
0.25,500,none,1020,poststratified,0.3806381476507157,0.19031907382535784
0.25,500,none,1021,raw_frequencies,0.26500000000000007,0.1325
0.25,500,none,1021,rr_debiased,0.22083142644852544,0.11041571322426263
0.25,500,none,1021,poststratified,0.3289018178351209,0.16445090891756053
0.25,500,none,1022,raw_frequencies,0.2810000000000001,0.1405
0.25,500,none,1022,rr_debiased,0.4729146731052771,0.2364573365526385
0.25,500,none,1022,poststratified,0.43470712881701207,0.21735356440850612
0.25,500,none,1023,raw_frequencies,0.25300000000000006,0.1265
0.25,500,none,1023,rr_debiased,0.26708116641877905,0.1335405832093895
0.25,500,none,1023,poststratified,0.1860003546485199,0.09300017732425991
0.25,500,none,1024,raw_frequencies,0.23700000000000004,0.1185
0.25,500,none,1024,rr_debiased,0.44332986627004684,0.22166493313502333
0.25,500,none,1024,poststratified,0.4966163721553445,0.24830818607767224
0.25,500,none,1025,raw_frequencies,0.25700000000000006,0.1285
0.25,500,none,1025,rr_debiased,0.3970801262997934,0.1985400631498967
0.25,500,none,1025,poststratified,0.34017186464044424,0.17008593232022207
0.25,500,none,1026,raw_frequencies,0.24900000000000005,0.1245
0.25,500,none,1026,rr_debiased,0.8595775260023292,0.42978876300116453
0.25,500,none,1026,poststratified,0.8990401548245616,0.4495200774122807
0.25,500,none,1027,raw_frequencies,0.321,0.16049999999999998
0.25,500,none,1027,rr_debiased,0.6308314264485254,0.31541571322426265
0.25,500,none,1027,poststratified,0.6218390441092292,0.31091952205461465
0.25,500,none,1028,raw_frequencies,0.317,0.15849999999999997
0.25,500,none,1028,rr_debiased,0.584581686478272,0.2922908432391359
0.25,500,none,1028,poststratified,0.6446921842213307,0.32234609211066534
0.25,500,none,1029,raw_frequencies,0.201,0.10049999999999998
0.25,500,none,1029,rr_debiased,0.5872204887556525,0.29361024437782623
0.25,500,none,1029,poststratified,0.5894045644030692,0.2947022822015346
0.25,500,moderate,1000,raw_frequencies,0.24900000000000005,0.1245
0.25,500,moderate,1000,rr_debiased,0.45208012629979344,0.22604006314989672
0.25,500,moderate,1000,poststratified,0.4237726882311988,0.21188634411559942
0.25,500,moderate,1001,raw_frequencies,0.2770000000000001,0.1385
0.25,500,moderate,1001,rr_debiased,0.472914673105277,0.23645733655263854
0.25,500,moderate,1001,poststratified,0.68934652052118,0.3446732602605901
0.25,500,moderate,1002,raw_frequencies,0.21700000000000003,0.10849999999999999
0.25,500,moderate,1002,rr_debiased,1.015073142186133,0.5075365710930664
0.25,500,moderate,1002,poststratified,0.848095528740485,0.42404776437024255
0.25,500,moderate,1003,raw_frequencies,0.2890000000000001,0.14450000000000002
0.25,500,moderate,1003,rr_debiased,0.6116638930160377,0.3058319465080189
0.25,500,moderate,1003,poststratified,0.7597792811677365,0.37988964058386826
0.25,500,moderate,1004,raw_frequencies,0.2770000000000001,0.1385
0.25,500,moderate,1004,rr_debiased,0.24166597325400913,0.12083298662700465
0.25,500,moderate,1004,poststratified,0.6911093646734543,0.3455546823367271
0.25,500,moderate,1005,raw_frequencies,0.24500000000000005,0.1225
0.25,500,moderate,1005,rr_debiased,0.24791363298629152,0.12395681649314569
0.25,500,moderate,1005,poststratified,0.3595608140402851,0.17978040702014253
0.25,500,moderate,1006,raw_frequencies,0.3090000000000001,0.15450000000000003
0.25,500,moderate,1006,rr_debiased,0.6666638930160378,0.33333194650801895
0.25,500,moderate,1006,poststratified,0.6455205175401033,0.32276025877005166
0.25,500,moderate,1007,raw_frequencies,0.341,0.17049999999999998
0.25,500,moderate,1007,rr_debiased,0.8620801262997935,0.43104006314989673
0.25,500,moderate,1007,poststratified,1.0075791393125182,0.5037895696562591
0.25,500,moderate,1008,raw_frequencies,0.24100000000000005,0.1205
0.25,500,moderate,1008,rr_debiased,0.3508303863295398,0.17541519316476983
0.25,500,moderate,1008,poststratified,0.37500000000000006,0.1875
0.25,500,moderate,1009,raw_frequencies,0.20900000000000007,0.10449999999999998
0.25,500,moderate,1009,rr_debiased,0.37499999999999994,0.1875
0.25,500,moderate,1009,poststratified,0.5649594151085929,0.2824797075542964
0.25,500,moderate,1010,raw_frequencies,0.22500000000000003,0.11249999999999999
0.25,500,moderate,1010,rr_debiased,0.6985626336744846,0.34928131683724223
0.25,500,moderate,1010,poststratified,0.6827157926344758,0.34135789631723784
0.25,500,moderate,1011,raw_frequencies,0.30900000000000005,0.15450000000000003
