config_seed,scenario,epsilon,sample_size,method,n_rows,n_failures,n_skipped,mean_runtime_sec,std_runtime_sec,total_runtime_sec
123,nonlinear_interaction,2.0,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.8087476949998745,0.05452627312458494,16.17495389999749
123,nonlinear_interaction,2.0,1000,neural_rr_mrp,20,0,0,0.09879204999997455,0.0169959477040117,1.975840999999491
123,sparse_minority_curve,0.5,1000,baseline_rr_debias,20,0,0,0.0008498050003254321,0.00010829845943355506,0.01699610000650864
123,sparse_minority_curve,0.5,1000,mrp_rr_poststrat,20,0,0,0.2571269799995207,0.01628394605466171,5.142539599990414
123,sparse_minority_curve,0.5,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.8148782400003256,0.048660893923525544,16.297564800006512
123,sparse_minority_curve,0.5,1000,neural_rr_mrp,20,0,0,0.07515891999937593,0.01767523836956611,1.5031783999875188
123,sparse_minority_curve,1.0,1000,baseline_rr_debias,20,0,0,0.0008490849995723693,0.000128193281002125,0.016981699991447385
123,sparse_minority_curve,1.0,1000,mrp_rr_poststrat,20,0,0,0.25928876499929177,0.012404820022891566,5.185775299985835
123,sparse_minority_curve,1.0,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.8213304100005189,0.057773051257693185,16.426608200010378
123,sparse_minority_curve,1.0,1000,neural_rr_mrp,20,0,0,0.08583733000086795,0.01840149954590091,1.716746600017359
123,sparse_minority_curve,2.0,1000,baseline_rr_debias,20,0,0,0.0008095850003883243,0.00011573089089918462,0.016191700007766485
123,sparse_minority_curve,2.0,1000,mrp_rr_poststrat,20,0,0,0.25622059999986957,0.007670902981104431,5.124411999997392
123,sparse_minority_curve,2.0,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.8229244149999431,0.038830438737401655,16.458488299998862
123,sparse_minority_curve,2.0,1000,neural_rr_mrp,20,0,0,0.09221810499948332,0.0221908890145908,1.8443620999896666
123,privacy_noise_sparse,0.5,1000,baseline_rr_debias,20,0,0,0.0007645399997272762,0.00012736036866267274,0.015290799994545523
123,privacy_noise_sparse,0.5,1000,mrp_rr_poststrat,20,0,0,0.26208084500030965,0.015873720322044635,5.241616900006193
