epsilon,mean_n_effective,mean_overall_l1,mean_overall_mae,mean_p90_age_l1_major,mean_p90_region_l1_major,mean_runtime_sec,mean_weighted_age_l1,mean_weighted_region_l1,mean_winner_correct,mean_worst_age_l1,mean_worst_age_l1_major,mean_worst_region_l1,mean_worst_region_l1_major,method,n_rows,n_sample,preset,scenario,scenario_label,std_overall_l1,std_overall_mae,std_p90_age_l1_major,std_p90_region_l1_major,std_runtime_sec,std_weighted_age_l1,std_weighted_region_l1,std_winner_correct,std_worst_age_l1,std_worst_age_l1_major,std_worst_region_l1,std_worst_region_l1_major
0.5,406.0,0.21310638873989568,0.042621277747979136,0.4626353504367912,0.6333206561114247,0.002497134000350343,0.3311603325020838,0.4222343736125808,1.0,0.4626353504367912,0.4626353504367912,0.9373247275284593,0.9373247275284593,mrp_misreport_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,406.0,0.2313359174680607,0.04626718349361214,0.48296672809546926,0.6443545262162745,0.003029346999937843,0.3421368859876008,0.4291596316205558,0.0,0.48296672809546926,0.48296672809546926,0.9515047224134421,0.9515047224134421,mrp_learned_misreport_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,406.0,0.27618190237881185,0.05523638047576237,0.5004565193745517,0.6926141375123425,0.013122103000114294,0.36253330011735424,0.4759444665757424,0.0,0.5004565193745517,0.5004565193745517,1.0622312447215714,1.0622312447215714,neural_rr_mrp,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,406.0,0.13041379310344825,0.02608275862068965,0.5095869257495818,0.7130124777183602,0.0003228579998904024,0.2864567897819415,0.3757144959642207,0.0,0.5095869257495818,0.5095869257495818,0.8876712328767122,0.8876712328767122,raw_reported_distribution,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,406.0,0.27670599641967486,0.05534119928393497,0.8556047084345157,1.2876712328767121,0.0010468269997545576,0.5859550516112628,0.7704817022612521,0.0,0.8556047084345157,0.8556047084345157,1.3139963447427558,1.3139963447427558,baseline_rr_debias,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,406.0,0.1732794750750065,0.0346558950150013,0.40812980399928084,0.6721459137496807,0.0026319120001971896,0.2973817298710346,0.39713635356426236,0.0,0.40812980399928084,0.40812980399928084,0.9065495362893783,0.9065495362893783,mrp_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,406.0,0.210425847263285,0.042085169452657,0.4603903662287701,0.6321912470699301,0.0024555320001127257,0.3295712124951448,0.42109761615022095,1.0,0.4603903662287701,0.4603903662287701,0.9344706124597013,0.9344706124597013,mrp_misreport_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,406.0,0.2297797652700629,0.04595595305401258,0.4818681114063217,0.6446232956440487,0.0030989929996394494,0.34096881618308267,0.42840647771591434,0.0,0.4818681114063217,0.4818681114063217,0.9489807894605218,0.9489807894605218,mrp_learned_misreport_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,406.0,0.15428758081268304,0.030857516162536607,0.40317887533994223,0.6531902065734524,0.012077451000095607,0.3102704445536017,0.40240306129451175,0.0,0.40317887533994223,0.40317887533994223,0.7968463524943592,0.7968463524943592,neural_rr_mrp,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,406.0,0.08697733990147787,0.01739546798029557,0.35169218890747644,0.4140767824497257,0.0003943370002161828,0.23315550911145955,0.32749130262458437,0.0,0.35169218890747644,0.35169218890747644,0.6526315789473685,0.6484018264840182,raw_reported_distribution,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
